"filename", "language", "Markdown", "JavaScript", "Vue", "SCSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\Diplomamunka teszt\client\README.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\xampp\htdocs\Diplomamunka teszt\client\babel.config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\Diplomamunka teszt\client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 13217, 0, 0, 1, 13218
"c:\xampp\htdocs\Diplomamunka teszt\client\package.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 0, 1, 58
"c:\xampp\htdocs\Diplomamunka teszt\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 17, 1, 1, 19
"c:\xampp\htdocs\Diplomamunka teszt\client\src\App.vue", "Vue", 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\businessman.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\chat.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\close.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\dislike.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\incognito.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\left-arrow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\like.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\notifications.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\right-arrow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\send.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\star.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\time.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\type.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\icons\upload.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Diplomamunka teszt\client\src\assets\styles\_variables.scss", "SCSS", 0, 0, 0, 61, 0, 0, 0, 0, 10, 71
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\admin\HeaderAdmin.vue", "Vue", 0, 0, 787, 0, 0, 0, 0, 16, 139, 942
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\admin\MovieList.vue", "Vue", 0, 0, 271, 0, 0, 0, 0, 17, 49, 337
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\global\BlockTitle.vue", "Vue", 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\global\Dropdown.vue", "Vue", 0, 0, 83, 0, 0, 0, 0, 0, 12, 95
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\global\Footer.vue", "Vue", 0, 0, 179, 0, 0, 0, 0, 5, 36, 220
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\global\LoadMoreButton.vue", "Vue", 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\global\LoadingScreen.vue", "Vue", 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\global\MovieList.vue", "Vue", 0, 0, 272, 0, 0, 0, 0, 0, 42, 314
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\global\Tab.vue", "Vue", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\global\Tabs.vue", "Vue", 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\guest\Commercial.vue", "Vue", 0, 0, 106, 0, 0, 0, 0, 0, 17, 123
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\guest\Header.vue", "Vue", 0, 0, 392, 0, 0, 0, 0, 3, 77, 472
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\guest\Hero.vue", "Vue", 0, 0, 137, 0, 0, 0, 0, 0, 23, 160
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\user\AddMovieForm.vue", "Vue", 0, 0, 11, 0, 0, 0, 0, 266, 3, 280
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\user\Comments.vue", "Vue", 0, 0, 547, 0, 0, 0, 0, 7, 90, 644
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\user\Filters.vue", "Vue", 0, 0, 358, 0, 0, 0, 0, 2, 50, 410
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\user\HeaderUser.vue", "Vue", 0, 0, 876, 0, 0, 0, 0, 14, 149, 1039
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\user\HeroUser.vue", "Vue", 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\user\MoviesCarousel.vue", "Vue", 0, 0, 113, 0, 0, 0, 0, 0, 20, 133
"c:\xampp\htdocs\Diplomamunka teszt\client\src\components\user\Reactions.vue", "Vue", 0, 0, 58, 0, 0, 0, 0, 0, 8, 66
"c:\xampp\htdocs\Diplomamunka teszt\client\src\main.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\Diplomamunka teszt\client\src\router\index.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 5, 5, 83
"c:\xampp\htdocs\Diplomamunka teszt\client\src\store.js", "JavaScript", 0, 450, 0, 0, 0, 0, 0, 0, 43, 493
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\guest\Author.vue", "Vue", 0, 0, 446, 0, 0, 0, 0, 0, 83, 529
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\guest\Home.vue", "Vue", 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\guest\Login.vue", "Vue", 0, 0, 230, 0, 0, 0, 0, 0, 44, 274
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\guest\MovieDetails.vue", "Vue", 0, 0, 161, 0, 0, 0, 0, 2, 29, 192
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\guest\Movies.vue", "Vue", 0, 0, 74, 0, 0, 0, 0, 0, 7, 81
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\guest\Register.vue", "Vue", 0, 0, 283, 0, 0, 0, 0, 0, 53, 336
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\user\Favourites.vue", "Vue", 0, 0, 100, 0, 0, 0, 0, 0, 9, 109
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\user\ForgotPassword.vue", "Vue", 0, 0, 129, 0, 0, 0, 0, 1, 22, 152
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\user\MovieDetails.vue", "Vue", 0, 0, 367, 0, 0, 0, 0, 8, 60, 435
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\user\Movies.vue", "Vue", 0, 0, 71, 0, 0, 0, 0, 0, 6, 77
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\user\NewAndPopular.vue", "Vue", 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\user\Profile.vue", "Vue", 0, 0, 28, 0, 0, 0, 0, 582, 2, 612
"c:\xampp\htdocs\Diplomamunka teszt\client\src\views\user\UserInterface.vue", "Vue", 0, 0, 105, 0, 0, 0, 0, 3, 14, 122
"c:\xampp\htdocs\Diplomamunka teszt\client\vue.config.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\Diplomamunka teszt\server\JWT.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 1, 10, 73
"c:\xampp\htdocs\Diplomamunka teszt\server\admin\deleteCard.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\Diplomamunka teszt\server\admin\insertMovie.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\xampp\htdocs\Diplomamunka teszt\server\admin\updateCard.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\Diplomamunka teszt\server\db-config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\addFavourite.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\addFeedback.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\addReaction.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\deleteComment.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\deleteFavourite.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\filterEachMovie.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 2, 13, 72
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\filterFavourites.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 2, 12, 70
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getCards.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getCategories.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getComments.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getEachComment.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getFavourites.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getLikes.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getMovieDetails.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getMoviesByCategory.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\getReactions.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\postComment.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\updateFeedback.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\xampp\htdocs\Diplomamunka teszt\server\movies\updateReaction.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"c:\xampp\htdocs\Diplomamunka teszt\server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1914, 0, 0, 1, 1915
"c:\xampp\htdocs\Diplomamunka teszt\server\package.json", "JSON", 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\xampp\htdocs\Diplomamunka teszt\server\routes\admin.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\xampp\htdocs\Diplomamunka teszt\server\routes\movies.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"c:\xampp\htdocs\Diplomamunka teszt\server\routes\users.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\xampp\htdocs\Diplomamunka teszt\server\server.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 5, 42
"c:\xampp\htdocs\Diplomamunka teszt\server\users\Login.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 1, 5, 42
"c:\xampp\htdocs\Diplomamunka teszt\server\users\Logout.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\Diplomamunka teszt\server\users\Registration.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\xampp\htdocs\Diplomamunka teszt\server\users\changeMail.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\Diplomamunka teszt\server\users\changePassword.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 11, 58
"c:\xampp\htdocs\Diplomamunka teszt\server\users\changeProfile.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 1, 6, 60
"c:\xampp\htdocs\Diplomamunka teszt\server\users\changeUsername.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\Diplomamunka teszt\server\users\getUserData.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\xampp\htdocs\Diplomamunka teszt\server\users\loginStatus.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"Total", "-", 19, 1509, 6517, 61, 16, 15216, 17, 941, 1360, 25656